"Species","Category","LMR","MaxMass..mg.","mSeed..mg.","Dist..m.","Gmax","Memo..weeks.","SLA.comb.","Palat","Clonal","meanSpacerLength..cm.","sdSpacerLength..cm.","Resshare","Note","STE_I1","ANA_I1","BLS_I1","ALP_I1","ATL_I1","BOR_I1","CON_I1","PAN_I1","MED_I1","MAC_I1"
"Echinops microcephalus","Non-crop",0.5,1000,1,0.1,NA,NA,NA,NA,"0","0","0","0","Turkey",0,0,1,0,0,0,0,0,0,0
"Echium italicum","Non-crop",1,2000,1,0.1,20,6,0.107226666666667,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Elytrigia repens aggr.","Non-crop",0.5,2000,1,0.1,40,4,0.5,1,"1","2.5","2.5","1","",1,0,1,1,1,1,1,1,0,0
"Equisetum arvense","Non-crop",0.5,1000,0.3,0.3,60,2,0.149097191615408,0.25,"0","0","0","0","",0,0,0,1,1,1,1,1,0,0
"Equisetum variegatum","Non-crop",0.5,1000,0.3,0.3,60,2,0.0984450579795324,0.25,"1","2.5","2.5","1","",0,1,0,0,0,0,0,0,0,0
"Eragrostis minor","Non-crop",0.75,1000,0.1,0.6,40,4,0.227635185199997,1,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Erigeron annuus","Non-crop",0.5,2000,0.1,0.6,60,2,0.298689399096923,NA,"0","0","0","0","",0,0,0,0,0,0,0,1,0,0
"Erigeron canadensis","Non-crop",0.5,2000,0.1,0.6,40,4,0.326477045285714,1,"0","0","0","0","",1,0,0,1,1,1,1,1,0,1
"Erigeron sumatrensis","Non-crop",1,5000,0.1,0.6,40,4,0.270209,1,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Erodium cicutarium","Non-crop",0.5,1000,1,0.1,20,6,0.349875052997405,0.25,"0","0","0","0","",0,1,0,1,1,1,1,1,1,0
"Erucaria hispanica","Non-crop",0.5,1000,0.3,0.3,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Eryngium campestre","Non-crop",0.75,1000,1,0.1,60,2,0.0870825487528667,0.25,"1","2.5","2.5","1","",1,0,1,0,0,0,0,0,1,0
"Erysimum cheiranthoides","Non-crop",0.5,2000,0.1,0.6,60,2,0.21996,NA,"0","0","0","0","",0,0,0,0,0,1,1,0,0,0
"Erysimum pulchellum","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Erysimum repandum","Non-crop",0.5,1000,0.1,0.6,40,4,0.1523255814,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Euphorbia chamaesyce","Non-crop",0.5,1000,0.1,0.6,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Euphorbia esula","Non-crop",0.5,2000,1,0.1,60,2,0.188204186242083,NA,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Euphorbia exigua","Non-crop",0.5,1000,0.3,0.3,20,6,0.26046088256,NA,"0","0","0","0","",0,0,0,1,0,0,0,1,0,0
"Euphorbia falcata","Non-crop",0.5,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,1,0,0,0,0,1,1,0
"Euphorbia helioscopia","Non-crop",0.5,1000,1,0.1,40,4,0.3601,0.25,"0","0","0","0","",0,0,0,1,1,1,1,1,1,0
"Euphorbia peplus","Non-crop",0.5,1000,0.3,0.3,20,6,0.4475,0.25,"0","0","0","0","",0,0,0,0,1,0,0,0,0,1
"Euphorbia seguieriana","Non-crop",0.5,1000,1,0.1,60,2,0.5,0.25,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Euphorbia serrata","Non-crop",0.5,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Falcaria vulgaris","Non-crop",0.5,2000,1,0.1,60,2,0.12584,NA,"0","0","0","0","",1,0,0,0,0,0,0,0,0,0
"Fallopia convolvulus","Non-crop",0.5,1000,1,0.1,60,2,0.33527230128125,0.25,"0","0","0","0","",1,0,1,1,1,1,1,1,1,0
"Ferula linkii","Non-crop",0.5,5000,1,0.1,NA,NA,NA,NA,"0","0","0","0","Canary island",0,0,0,0,0,0,0,0,0,1
"Filago pyramidata","Non-crop",0.5,1000,0.1,0.6,20,6,0.37672,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Fumaria densiflora","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,1,0,0,0,0,0,0,0,0
"Fumaria muralis","Non-crop",0.5,2000,1,0.1,60,2,0.2828,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Fumaria officinalis","Non-crop",0.5,1000,1,0.1,20,6,0.315483549783478,NA,"0","0","0","0","",0,1,0,1,1,1,1,0,1,0
"Fumaria parviflora","Non-crop",0.5,1000,1,0.1,20,6,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
"Galactites tomentosus","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,0,0,0,0,0,0,1
"Galeopsis speciosa","Non-crop",0.5,5000,1,0.1,60,2,0.399533333333333,NA,"0","0","0","0","",0,0,0,0,0,1,0,0,0,0
"Galeopsis tetrahit aggr.","Non-crop",0.5,2000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,0,1,1,1,1,0,0,0
"Galinsoga parviflora","Non-crop",0.5,1000,0.3,0.3,60,2,0.484024666666667,0.25,"0","0","0","0","",0,0,0,1,0,1,1,1,0,1
"Galinsoga quadriradiata","Non-crop",0.5,1000,0.3,0.3,40,4,0.350811285714286,0.25,"0","0","0","0","",0,0,0,1,0,0,1,0,0,1
"Galium aparine","Non-crop",0.5,2000,1,0.1,60,2,0.411895159932951,0.25,"0","0","0","0","",1,0,1,1,1,1,1,1,1,1
"Galium rubioides","Non-crop",0.5,2000,0.3,0.3,40,4,0.5,NA,"1","2.5","2.5","1","",1,0,0,0,0,0,0,0,0,0
"Galium spurium","Non-crop",0.5,2000,1,0.1,60,2,0.5,NA,"0","0","0","0","",0,0,0,1,0,1,0,0,0,0
"Galium tenuissimum","Non-crop",0.5,1000,1,0.1,40,4,0.5,NA,"0","0","0","0","",0,0,1,0,0,0,0,0,0,0
"Galium tricornutum","Non-crop",0.5,1000,1,0.1,40,4,0.5,0.25,"0","0","0","0","",0,0,0,0,0,0,0,0,1,0
